Name,Market Cap,Multiplicative,Share Price,Country
Apple,2.908,1000000000000,184.92,USA
Microsoft,2.545,1000000000000,342.33,USA
Saudi Aramco,2.097,1000000000000,8.67,S. Arabia
Alphabet (Google),1.570,1000000000000,124.06,USA
Amazon,1.287,1000000000000,125.49,USA
NVIDIA,1.054,1000000000000,426.92,USA
Tesla,825.78,1000000000,260.54,USA
Berkshire Hathaway,739.62,1000000000,338.31,USA
Meta Platforms (Facebook),720.12,1000000000,281.00,USA
TSMC,542.34,1000000000,104.57,Taiwan
Visa,479.42,1000000000,228.91,USA
LVMH,475.32,1000000000,950.95,France
Tencent,438.45,1000000000,45.81,China
UnitedHealth,426.86,1000000000,458.49,USA
Johnson & Johnson,426.78,1000000000,164.23,USA
Exxon Mobil,425.03,1000000000,105.13,USA
Eli Lilly,424.99,1000000000,447.71,USA
Walmart,418.81,1000000000,155.53,USA
JPMorgan Chase,418.64,1000000000,143.26,USA
Samsung,376.84,1000000000,56.51,S. Korea
Novo Nordisk,361.67,1000000000,161.29,Denmark
Broadcom,358.25,1000000000,868.11,USA
Mastercard,356.81,1000000000,376.53,USA
Procter & Gamble,352.46,1000000000,149.54,USA
Oracle,338.71,1000000000,125.46,USA
Nestlé,323.57,1000000000,121.27,Switzerland
Kweichow Moutai,317.21,1000000000,252.52,China
Home Depot,301.99,1000000000,300.38,USA
Chevron,297.95,1000000000,157.26,USA
ASML,284.84,1000000000,721.88,Netherlands
Merck,277.39,1000000000,109.32,USA
Coca-Cola,266.69,1000000000,61.67,USA
Pepsico,256.30,1000000000,186.04,USA
Roche,253.73,1000000000,314.07,Switzerland
AbbVie,244.60,1000000000,138.64,USA
L'Oréal,243.13,1000000000,454.29,France
Alibaba,236.00,1000000000,92.10,China
International Holding Company,235.98,1000000000,107.58,eu UAE
ICBC,233.50,1000000000,0.54,China
AstraZeneca,233.16,1000000000,75.22,UK
Bank of America,232.61,1000000000,29.19,USA
Costco,232.05,1000000000,523.65,USA
Hermès,227.29,1000000000,"2,174",France
Adobe,227.13,1000000000,495.18,USA
Pfizer,226.15,1000000000,40.06,USA
Toyota,222.75,1000000000,164.35,Japan
Novartis,215.83,1000000000,101.83,Switzerland
McDonald,214.42,1000000000,293.70,USA
Reliance Industries,212.84,1000000000,31.46,India
Cisco,212.18,1000000000,52.07,USA
Thermo Fisher Scientific,207.24,1000000000,537.30,USA
Salesforce,206.25,1000000000,211.76,USA
Shell,205.92,1000000000,60.35,UK
Accenture,201.96,1000000000,319.54,Ireland
AMD,193.37,1000000000,120.08,USA
Netflix,192.02,1000000000,431.96,USA
PetroChina,187.35,1000000000,1.06,China
Abbott Laboratories,184.67,1000000000,106.20,USA
Linde,183.74,1000000000,375.29,UK
China Mobile,178.67,1000000000,8.13,China
Danaher,178.42,1000000000,241.80,USA
Nike,174.58,1000000000,113.59,USA
Agricultural Bank of China,172.44,1000000000,0.50,China
Comcast,171.75,1000000000,41.20,USA
Walt Disney,166.86,1000000000,91.32,USA
China Construction Bank,162.57,1000000000,0.88,China
Dior,161.76,1000000000,896.65,France
Texas Instruments,160.43,1000000000,176.76,USA
SAP,160.22,1000000000,137.28,Germany
BHP Group,159.85,1000000000,63.17,Australia
Wells Fargo,158.26,1000000000,42.18,USA
T-Mobile US,157.10,1000000000,130.93,USA
HSBC,155.86,1000000000,39.18,UK
United Parcel Service,153.37,1000000000,178.58,USA
Verizon,153.27,1000000000,36.46,USA
Nextera Energy,152.95,1000000000,75.59,USA
Prosus,151.79,1000000000,75.72,Netherlands
Intel,151.69,1000000000,36.37,USA
Bank of China,150.56,1000000000,0.56,China
Philip Morris,147.28,1000000000,94.89,USA
Morgan Stanley,147.11,1000000000,88.09,USA
Raytheon Technologies,142.81,1000000000,97.74,USA
CATL,142.71,1000000000,32.46,China
Siemens,142.10,1000000000,179.31,Germany
Tata Consultancy Services,141.78,1000000000,38.75,India
TotalEnergies,140.96,1000000000,58.04,France
Bristol-Myers Squibb,138.99,1000000000,66.16,USA
QUALCOMM,136.66,1000000000,122.68,USA
Honeywell,135.11,1000000000,202.97,USA
Royal Bank Of Canada,132.82,1000000000,95.45,Canada
Boeing,132.34,1000000000,219.99,USA
Unilever,130.68,1000000000,51.93,UK
Sanofi,129.98,1000000000,52.04,France
American Express,127.99,1000000000,172.21,USA
Intuit,127.43,1000000000,455.03,USA
Lowe's Companies,127.20,1000000000,217.08,USA
ConocoPhillips,126.95,1000000000,104.92,USA
S&P Global,126.78,1000000000,395.21,USA
Caterpillar,126.64,1000000000,245.27,USA
IBM,124.83,1000000000,137.48,USA
Union Pacific Corporation,124.78,1000000000,204.67,USA
China Life Insurance,123.93,1000000000,5.32,China
HDFC Bank,123.80,1000000000,66.45,India
Ping An Insurance,123.62,1000000000,6.83,China
Amgen,122.71,1000000000,229.66,USA
Keyence,122.71,1000000000,505.97,Japan
AIA,120.94,1000000000,10.45,Hong Kong
Sony,120.73,1000000000,97.57,Japan
CM Bank,120.65,1000000000,4.83,China
Deere & Company,119.51,1000000000,407.63,USA
Medtronic,118.64,1000000000,89.15,Ireland
Inditex,117.24,1000000000,18.84,Spain
Starbucks,116.78,1000000000,101.87,USA
Applied Materials,116.66,1000000000,138.93,USA
Lockheed Martin,116.28,1000000000,459.17,USA
General Electric,115.88,1000000000,106.29,USA
Anheuser-Busch Inbev,115.47,1000000000,58.21,Belgium
Intuitive Surgical,115.40,1000000000,329.36,USA
Commonwealth Bank,115.34,1000000000,68.37,Australia
ServiceNow,115.21,1000000000,565.48,USA
AT&T,114.81,1000000000,16.06,USA
Porsche,114.34,1000000000,125.52,Germany
Airbus,113.32,1000000000,143.62,Netherlands
Prologis,113.24,1000000000,122.63,USA
Toronto Dominion Bank,112.55,1000000000,61.16,Canada
Goldman Sachs,112.47,1000000000,338.31,USA
Stryker Corporation,111.73,1000000000,294.35,USA
Meituan,110.14,1000000000,17.64,China
Rio Tinto,109.57,1000000000,67.55,UK
LG Energy Solution,108.29,1000000000,462.81,S. Korea
BYD,107.14,1000000000,38.08,China
Pinduoduo,106.11,1000000000,79.87,China
Deutsche Telekom,105.74,1000000000,21.27,Germany
BlackRock,105.25,1000000000,702.78,USA
Elevance Health,105.06,1000000000,443.21,USA
BP,103.07,1000000000,35.35,UK
Sinopec,102.82,1000000000,0.91,China
NTT (Nippon Telegraph & Telephone),100.81,1000000000,29.47,Japan
Wuliangye Yibin,100.36,1000000000,25.86,China
Mondelez,100.19,1000000000,73.57,USA
Schneider Electric,99.76,1000000000,178.43,France
Charles Schwab,99.01,1000000000,54.40,USA
Gilead Sciences,98.36,1000000000,78.86,USA
Booking Holdings (Booking.com),97.54,1000000000,"2,641",USA
Diageo,97.47,1000000000,173.46,UK
Compagnie Financière Richemont,96.27,1000000000,168.85,Switzerland
Air Liquide,95.95,1000000000,183.86,France
TAQA,95.51,1000000000,0.85,eu UAE
CSL,94.79,1000000000,191.22,Australia
Analog Devices,94.44,1000000000,188.36,USA
Citigroup,93.81,1000000000,48.19,USA
Equinor,93.74,1000000000,30.13,Norway
TJX Companies,93.38,1000000000,81.26,USA
Allianz,92.46,1000000000,230.24,Germany
Automatic Data Processing,91.43,1000000000,221.32,USA
American Tower,91.20,1000000000,192.89,USA
Petrobras,90.65,1000000000,13.90,Brazil
Marsh & McLennan Companies,89.61,1000000000,181.15,USA
Vertex Pharmaceuticals,89.59,1000000000,347.89,USA
Mercedes-Benz,89.13,1000000000,83.32,Germany
Uber,88.07,1000000000,43.52,USA
CVS Health,86.81,1000000000,67.72,USA
Regeneron Pharmaceuticals,85.90,1000000000,783.05,USA
EssilorLuxottica,84.75,1000000000,189.27,France
Mitsubishi UFJ Financial,83.92,1000000000,6.93,Japan
Shopify,82.76,1000000000,64.71,Canada
Lam Research,82.30,1000000000,612.65,USA
Fast Retailing,81.32,1000000000,265.21,Japan
Airbnb,81.10,1000000000,128.68,USA
Iberdrola,81.08,1000000000,12.94,Spain
HCA Healthcare,81.03,1000000000,290.08,USA
China Shenhua Energy,80.84,1000000000,4.21,China
Chubb,80.73,1000000000,194.94,Switzerland
Volkswagen,80.60,1000000000,141.25,Germany
BMW,80.47,1000000000,122.31,Germany
ICICI Bank,79.97,1000000000,22.87,India
Cigna,79.53,1000000000,268.83,USA
Al Rajhi Bank,79.28,1000000000,19.82,S. Arabia
Merck KGaA,79.13,1000000000,182.01,Germany
Zoetis,78.90,1000000000,170.74,USA
Canadian National Railway,78.79,1000000000,118.95,Canada
Altria Group,78.66,1000000000,44.07,USA
Southern Company,78.24,1000000000,71.76,USA
Boston Scientific,78.09,1000000000,54.32,USA
Hindustan Unilever,77.87,1000000000,33.15,India
China Yangtze Power,76.30,1000000000,3.12,China
Eaton,76.23,1000000000,191.26,Ireland
Progressive,76.09,1000000000,129.99,USA
Enbridge,76.00,1000000000,37.48,Canada
Palo Alto Networks,75.40,1000000000,246.53,USA
Illinois Tool Works,75.36,1000000000,247.99,USA
Glencore,75.07,1000000000,6.03,Switzerland
Bank Central Asia,74.67,1000000000,0.61,Indonesia
BNP Paribas,74.66,1000000000,61.93,France
PayPal,74.11,1000000000,66.43,USA
Fiserv,74.05,1000000000,119.96,USA
Micron Technology,74.04,1000000000,67.66,USA
Becton Dickinson,73.45,1000000000,258.63,USA
British American Tobacco,73.39,1000000000,32.82,UK
Canadian Pacific Railway,73.10,1000000000,78.52,Canada
Estee Lauder,72.89,1000000000,203.95,USA
Equinix,72.81,1000000000,778.61,USA
China Telecom,72.67,1000000000,0.50,China
GlaxoSmithKline,71.96,1000000000,35.15,UK
Shin-Etsu Chemical,71.96,1000000000,34.90,Japan
CNOOC,71.72,1000000000,1.44,China
Duke Energy,71.03,1000000000,92.18,USA
Zurich Insurance Group,70.98,1000000000,481.12,Switzerland
Walmex,70.85,1000000000,4.04,Mexico
SABIC,70.67,1000000000,23.56,S. Arabia
Kering,70.65,1000000000,577.73,France
America Movil,70.57,1000000000,22.02,Mexico
Mitsubishi Corporation,70.46,1000000000,49.36,Japan
Postal Savings Bank of China,69.70,1000000000,0.72,China
Northrop Grumman,69.60,1000000000,458.35,USA
SoftBank,69.20,1000000000,47.32,Japan
KDDI,69.08,1000000000,32.00,Japan
ABB,69.02,1000000000,37.13,Switzerland
Vinci,68.96,1000000000,120.95,France
ITC,68.72,1000000000,5.53,India
Atlas Copco,68.66,1000000000,12.77,Sweden
Schlumberger,68.10,1000000000,47.78,USA
Enel,67.97,1000000000,6.69,Italy
Tokyo Electron,67.93,1000000000,145.40,Japan
CSX Corporation,67.51,1000000000,33.21,USA
Aon,67.27,1000000000,329.38,UK
Waste Management,67.13,1000000000,165.03,USA
Synopsys,67.13,1000000000,441.19,USA
Foxconn Industrial Internet,67.13,1000000000,3.38,China
AXA,66.66,1000000000,28.90,France
EOG Resources,66.32,1000000000,113.41,USA
SK Hynix,66.27,1000000000,93.58,S. Korea
CME Group,66.22,1000000000,184.11,USA
Daiichi Sankyō,66.06,1000000000,34.47,Japan
UBS,65.93,1000000000,20.41,Switzerland
Blackstone Group,65.79,1000000000,91.13,USA
Infosys,65.77,1000000000,15.83,India
Safran,65.58,1000000000,153.78,France
Air Products and Chemicals,65.11,1000000000,293.17,USA
Siemens Healthineers,64.70,1000000000,57.81,Germany
RELX,64.56,1000000000,34.04,UK
Colgate-Palmolive,64.52,1000000000,77.78,USA
Activision Blizzard,64.44,1000000000,81.97,USA
Cadence Design Systems,64.30,1000000000,235.84,USA
KKR & Co.,64.30,1000000000,57.20,USA
Oriental Land,63.99,1000000000,38.22,Japan
Sherwin-Williams,63.92,1000000000,247.89,USA
KLA,63.78,1000000000,464.89,USA
Bank of Montreal,63.74,1000000000,90.21,Canada
NetEase,63.49,1000000000,98.45,China
Vale,63.11,1000000000,14.44,Brazil
Investor AB,62.97,1000000000,20.58,Sweden
Moody's,62.72,1000000000,341.85,USA
Intercontinental Exchange,62.52,1000000000,111.68,USA
Jingdong Mall,62.42,1000000000,39.85,China
State Bank of India,62.22,1000000000,6.97,India
Nongfu Spring,61.82,1000000000,5.53,China
Daikin,61.76,1000000000,211.04,Japan
Target,61.76,1000000000,133.81,USA
London Stock Exchange,61.46,1000000000,111.41,UK
Thomson Reuters,61.23,1000000000,129.79,Canada
Monster Beverage,61.18,1000000000,58.45,USA
Mitsui Bussan,60.91,1000000000,39.54,Japan
Vmware,60.83,1000000000,141.36,USA
DBS Group,60.15,1000000000,23.33,Singapore
Heineken,60.15,1000000000,104.55,Netherlands
Canadian Natural Resources,60.10,1000000000,55.01,Canada
Scotiabank,60.10,1000000000,50.16,Canada
Snowflake,60.02,1000000000,184.18,USA
Dassault Systèmes,60.01,1000000000,45.28,France
MercadoLibre,59.98,1000000000,"1,195",ar Argentina
Housing Development Finance Corporation,59.79,1000000000,32.35,India
General Dynamics,59.62,1000000000,217.34,USA
Hitachi,59.58,1000000000,63.40,Japan
Bharti Airtel,59.13,1000000000,10.23,India
The Saudi National Bank,59.01,1000000000,9.90,S. Arabia
Itōchū Shōji,58.73,1000000000,40.28,Japan
FedEx,58.68,1000000000,233.46,USA
Saudi Telecom Company,58.61,1000000000,11.77,S. Arabia
Workday,58.04,1000000000,222.40,USA
Deutsche Post,57.98,1000000000,48.37,Germany
Itaú Unibanco,57.81,1000000000,5.90,Brazil
Ford,57.69,1000000000,14.42,USA
3M,57.67,1000000000,104.54,USA
Midea,57.55,1000000000,8.20,China
Southern Copper,57.54,1000000000,74.44,USA
Enterprise Products,57.38,1000000000,26.39,USA
Freeport-McMoRan,57.17,1000000000,39.89,USA
Fortinet,57.14,1000000000,72.78,USA
Santander,56.79,1000000000,3.49,Spain
Pernod Ricard,56.45,1000000000,222.57,France
Bayer,56.15,1000000000,57.16,Germany
Chipotle Mexican Grill,56.08,1000000000,"2,033",USA
Bank Rakyat Indonesia,56.06,1000000000,0.37,Indonesia
O'Reilly Automotive,55.94,1000000000,919.02,USA
Ferrari,55.86,1000000000,308.02,Italy
Edwards Lifesciences,55.73,1000000000,91.94,USA
National Australia Bank,55.68,1000000000,17.79,Australia
Humana,55.68,1000000000,445.65,USA
Reckitt Benckiser,55.64,1000000000,77.56,UK
